Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,G+A,Glsxx,Goals,Shots,Shots on Target,Shots on Target%,Goals per Shot,Goals per Shot on Target,Avg Shot Distance,FK Shots,Penalties,Penalites Attempted,xG,npxG,npxG per Shot,G-xG,npG-xG,Passes Completed,Passes Attempted,Passes Completed%,Total Pass Dist,Prog Pass Dist,Short Pass Cmp,Short Pass Att,Shor tPass Cmp %,Medium Pass Cmp,Medium Pass Att,Medium Pass Cmp%,Long Pass Cmp,Long Pass Att,Long Pass Cmp%,Assists,xAG,xA,A-xAG,Key Passes,Final 1/3 Cmp,Passes into Penalty Area,Crosses into Penalty Area,Prog Passes,Live Pass,Dead Pass,FK Passes,Thru Balls,Switches,Crosses,Throw In,Corners,In Swing CK,Out Swing CK,Straight CK,Passes Offside,Passes Blocked,SCA,SCA Pass Live,SCA Pass Dead,SCA Dribble,SCA Sh,SCA Fouls Drawn,SCA Def,GCA,GCA Pass Live,GCA Pass Dead,GCA Dribble,GCA Shot,GCA Fouls Drawn,GCA Def,Tackle,Tackles Won,Def 3rd Tkl,Mid 3rd Tkl,Att 3rd Tkl,Drb Tkl,Drb Past Att,Drb Tkl%,Drb Past,Blocks,Sh Blocks,Pass Blocks,Int,Tkl+Int,Clr,Err,Touches,Def Pen Touch,Def 3rd Touch,Mid 3rd Touch,Att 3rd Touch,Att Pen Touch,Live Touch,Att Drb,Succ Drb,Drb Succ%,Times Tackled,Times Tackled%,Carries,Total Carry Distance,Prog Carry Distance,Prog Carries,Carries To Fina lThird,Carries To Pen Area,Carry Mistakes,Disposesed,Received Pass,Prog Passes Rec,Yellows,Reds,Yellow2,Fls,Fld,Off,PKwon,PKcon,OG,Recov,AerialWins,AerialLoss,AerialWin%
Tijjani Noslin,nl NED,"FW,MF",Hellas Verona,it Serie A,24,1999,17,17,1339,9,0.34,5,36,15,41.7,0.14,0.33,17.4,0,0,0,3.6,3.6,0.1,1.4,1.4,235,338,69.5,3048,641,140,178,78.7,69,103,67,6,15,40,4,2.2,1,1.8,26,18,13,4,26,330,7,0,0,0,15,0,0,0,0,0,1,9,55,47,0,2,2,4,0,7,5,0,1,0,1,0,18,8,5,7,6,6,16,37.5,10,17,2,15,2,20,14,0,526,23,53,198,282,54,526,25,8,32,16,64,292,1525,721,29,22,13,52,13,364,94,2,0,0,24,10,4,2,0,0,65,49,71,40.8
Tijjani Reijnders,nl NED,MF,Milan,it Serie A,25,1998,36,33,2820,6,0.1,3,44,9,20.5,0.07,0.33,20.1,0,0,0,3.2,3.2,0.07,-0.2,-0.2,1575,1746,90.2,24974,6527,773,822,94,664,708,93.8,92,129,71.3,3,3.7,4.1,-0.7,50,168,37,6,204,1669,73,33,7,2,39,14,23,11,7,0,4,22,132,102,11,11,4,1,3,18,16,0,2,0,0,0,46,25,10,31,5,21,43,48.8,22,26,8,18,18,64,26,0,2022,54,323,1181,533,62,2022,55,35,63.6,17,30.9,1367,9122,4195,88,81,18,40,38,1571,90,8,0,0,21,20,1,0,0,0,136,8,18,30.8
Tim Breithaupt,de GER,MF,Augsburg,de Bundesliga,21,2002,16,6,629,0,0,0,3,0,0,0,0,27,0,0,0,0.1,0.1,0.03,-0.1,-0.1,232,281,82.6,3821,1252,105,122,86.1,110,122,90.2,12,23,52.2,0,0.1,0.3,-0.1,3,20,3,0,21,274,6,3,0,0,2,0,0,0,0,0,1,6,11,11,0,0,0,0,0,1,1,0,0,0,0,0,20,11,11,9,0,13,21,61.9,8,15,3,12,8,28,10,0,355,19,117,196,44,1,355,1,1,100,0,0,142,571,190,0,1,0,6,5,186,2,3,0,0,12,4,0,0,0,0,48,11,7,61.1
Tim Drexler,de GER,DF,Hoffenheim,de Bundesliga,18,2005,8,6,573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,315,349,90.3,5021,1532,158,168,94,141,148,95.3,11,22,50,0,0,0,0,1,14,0,0,12,341,7,6,0,0,0,1,0,0,0,0,1,1,5,5,0,0,0,0,0,3,3,0,0,0,0,0,16,9,12,4,0,8,17,47.1,9,12,8,4,8,24,14,0,417,35,197,208,13,4,417,5,1,20,3,60,263,1190,603,6,2,0,4,1,289,0,1,0,0,4,5,0,0,0,0,24,3,14,17.6
Tim Iroegbunam,eng ENG,MF,Aston Villa,eng Premier League,20,2003,9,1,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,55,92.7,704,229,30,31,96.8,19,20,95,0,0,0,0,0,0,0,0,1,0,0,1,54,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,4,2,1,4,9,44.4,5,3,0,3,2,9,3,0,79,5,27,46,8,0,79,7,3,42.9,2,28.6,41,222,115,3,0,0,2,3,38,0,0,0,0,9,3,0,0,0,0,15,1,0,100
Tim Kleindienst,de GER,FW,Heidenheim,de Bundesliga,27,1995,33,33,2869,15,0.38,12,81,31,38.3,0.12,0.32,13.6,0,2,2,13.9,12.3,0.15,-1.9,-2.3,516,874,59,7296,1708,295,462,63.9,147,231,63.6,30,47,63.8,3,3.3,2,-0.3,27,58,10,2,73,828,43,0,2,7,19,11,0,0,0,0,3,50,71,54,0,4,9,1,3,11,8,0,1,1,1,0,21,12,6,11,4,7,25,28,18,32,8,24,12,33,58,0,1325,66,130,632,577,142,1323,63,19,30.2,41,65.1,629,2725,1096,40,37,16,110,56,932,178,6,0,0,88,13,16,0,0,0,100,179,117,60.5
Tim Oermann,de GER,DF,Bochum,de Bundesliga,19,2003,16,8,714,0,0,0,5,0,0,0,0,27.1,0,0,0,0.1,0.1,0.02,-0.1,-0.1,181,262,69.1,3043,1352,92,113,81.4,71,94,75.5,16,33,48.5,0,0.3,0.4,-0.3,4,22,5,3,25,196,63,1,0,1,8,62,0,0,0,0,3,7,10,6,3,0,1,0,0,1,1,0,0,0,0,0,19,11,11,4,4,9,14,64.3,5,15,6,9,2,21,22,0,356,41,115,176,71,2,356,10,5,50,5,50,120,741,346,6,9,2,10,5,128,7,2,0,0,8,8,0,0,0,0,27,7,12,36.8
Tim Ream,us USA,DF,Fulham,eng Premier League,35,1987,18,17,1503,1,0.06,1,1,1,100,1,1,1.3,0,0,0,1,1,0.96,0,0,944,1060,89.1,18892,6949,308,333,92.5,515,559,92.1,110,143,76.9,0,0,0.1,0,0,78,1,0,65,1010,49,19,0,8,1,0,0,0,0,0,1,9,10,9,1,0,0,0,0,1,1,0,0,0,0,0,20,9,13,5,2,9,18,50,9,23,15,8,25,45,61,2,1206,160,585,600,30,7,1206,7,6,85.7,1,14.3,739,4157,2723,11,6,2,6,3,811,3,4,1,1,8,6,1,0,2,0,79,25,19,56.8
Tim Siersleben,de GER,DF,Heidenheim,de Bundesliga,23,2000,14,10,910,0,0,0,3,0,0,0,0,28.2,0,0,0,0.2,0.2,0.06,-0.2,-0.2,456,559,81.6,9924,4378,127,145,87.6,246,270,91.1,81,137,59.1,0,0.5,0.4,-0.5,3,39,0,0,48,545,13,10,0,9,1,3,0,0,0,0,1,5,8,6,0,0,1,0,1,1,0,0,0,0,0,1,27,11,21,6,0,8,20,40,12,16,10,6,21,48,29,1,668,59,349,309,14,6,668,2,0,0,2,100,362,2266,1424,12,4,0,7,2,452,1,1,0,0,16,5,0,0,2,0,59,13,11,54.2
Tim Skarke,de GER,"FW,DF",Darmstadt 98,de Bundesliga,26,1996,30,29,2404,8,0.3,8,69,20,29,0.12,0.4,21.9,1,0,0,3.6,3.6,0.05,4.4,4.4,622,855,72.7,10477,2900,307,364,84.3,219,294,74.5,72,127,56.7,0,2.1,3,-2.1,31,38,33,14,80,777,77,12,1,10,94,35,11,4,6,0,1,32,73,47,9,5,7,4,1,2,2,0,0,0,0,0,26,16,12,10,4,10,28,35.7,18,25,2,23,6,32,20,0,1134,32,199,470,482,71,1134,63,28,44.4,32,50.8,640,3890,1888,61,35,20,55,23,761,190,7,0,0,31,40,17,0,0,0,125,11,50,18
Timo Hübers,de GER,DF,Köln,de Bundesliga,27,1996,31,31,2778,0,0,0,22,5,22.7,0,0,12.6,0,0,0,1.8,1.8,0.08,-1.8,-1.8,1473,1743,84.5,28520,10485,448,501,89.4,879,951,92.4,130,250,52,0,0.5,1,-0.5,6,105,7,1,104,1665,73,60,1,8,3,7,0,0,0,0,5,10,22,19,0,0,2,1,0,1,0,0,0,0,1,0,68,47,51,14,3,49,80,61.3,31,54,28,26,63,131,168,1,2143,267,1200,897,65,31,2143,6,4,66.7,2,33.3,1203,6033,3442,19,14,1,11,7,1280,3,6,0,0,44,25,1,1,0,0,211,99,49,66.9
Timo Werner,de GER,"FW,MF",RB Leipzig,de Bundesliga,27,1996,8,2,207,2,0.87,2,8,5,62.5,0.13,0.2,17.8,0,1,1,2.4,1.6,0.2,-0.4,-0.6,61,88,69.3,983,129,34,43,79.1,23,30,76.7,4,7,57.1,0,0,0.1,0,2,1,0,0,6,83,4,0,0,0,4,3,1,0,0,0,1,6,8,7,0,1,0,0,0,1,0,0,1,0,0,0,2,1,0,1,1,0,0,0,0,1,0,1,1,3,0,0,112,0,8,48,57,15,111,10,5,50,4,40,74,517,241,10,9,5,3,5,90,32,0,0,0,2,0,0,0,0,0,7,0,2,0
Timo Werner,de GER,FW,Tottenham,eng Premier League,27,1996,13,10,809,5,0.22,2,29,7,24.1,0.07,0.29,14.1,0,0,0,3.7,3.7,0.13,-1.7,-1.7,281,366,76.8,4049,863,163,189,86.2,108,138,78.3,6,12,50,3,2.7,2.9,0.3,15,9,20,5,41,349,16,2,2,0,28,14,0,0,0,0,1,16,34,25,0,4,4,1,0,7,7,0,0,0,0,0,7,4,3,4,0,5,18,27.8,13,12,0,12,3,10,2,0,451,3,32,119,302,69,451,30,12,40,12,40,327,2630,1549,79,27,36,11,5,352,124,1,0,0,3,5,12,0,0,0,27,1,2,33.3
Timothy Castagne,be BEL,DF,Fulham,eng Premier League,27,1995,34,29,2634,4,0.03,1,14,4,28.6,0.07,0.25,11.3,0,0,0,1.6,1.6,0.12,-0.6,-0.6,1350,1662,81.2,21238,7361,705,794,88.8,514,595,86.4,91,162,56.2,3,1.9,1.8,1.1,18,74,17,8,77,1373,286,27,2,2,50,259,0,0,0,0,3,55,50,39,2,4,4,0,1,2,2,0,0,0,0,0,49,24,23,16,10,26,44,59.1,18,38,10,28,38,87,69,1,1937,116,697,831,418,58,1937,30,17,56.7,10,33.3,879,3780,1855,48,25,6,25,10,1121,113,3,0,0,22,10,3,0,0,0,119,35,32,52.2
Timothy Chandler,us USA,"MF,DF",Eint Frankfurt,de Bundesliga,33,1990,6,0,18,1,0,0,2,1,50,0,0,17.8,0,0,0,0.1,0.1,0.04,-0.1,-0.1,18,26,69.2,323,145,7,8,87.5,9,12,75,2,4,50,1,0.1,0.1,0.9,2,2,1,0,5,22,3,0,0,0,4,3,0,0,0,0,1,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,1,7,22,2,30,0,0,0,0,0,17,58,20,1,1,0,0,1,24,10,0,0,0,0,0,0,0,0,0,0,2,1,66.7
Timothy Weah,us USA,"DF,FW",Juventus,it Serie A,23,2000,30,12,1258,1,0,0,12,2,16.7,0,0,20,0,0,0,1.5,1.5,0.13,-1.5,-1.5,476,597,79.7,7512,1758,251,282,89,194,225,86.2,27,49,55.1,1,1.1,1.1,-0.1,13,36,13,4,48,554,40,0,0,1,38,40,0,0,0,0,3,23,30,25,1,0,2,2,0,2,2,0,0,0,0,0,27,20,16,8,3,15,20,75,5,12,1,11,5,32,15,0,714,22,141,304,273,27,714,13,5,38.5,5,38.5,423,2793,1208,35,19,8,15,10,487,84,5,0,0,15,8,2,0,0,0,58,10,13,43.5
Tino Kadewere,zw ZIM,"FW,MF",Lyon,fr Ligue 1,27,1996,11,2,296,0,0,0,6,1,16.7,0,0,17.9,0,0,0,0.7,0.7,0.11,-0.7,-0.7,89,111,80.2,1209,352,53,66,80.3,28,32,87.5,3,5,60,0,0.3,0.2,-0.3,6,5,3,1,12,104,6,0,0,0,2,2,0,0,0,0,1,1,9,8,0,0,0,1,0,1,1,0,0,0,0,0,1,1,0,1,0,1,5,20,4,3,1,2,5,6,7,0,148,8,19,70,61,13,148,5,3,60,2,40,104,540,185,4,2,3,6,9,99,28,0,0,0,6,2,2,0,0,0,23,10,11,47.6
Tino Kadewere,zw ZIM,"FW,MF",Nantes,fr Ligue 1,27,1996,14,8,781,1,0.12,1,9,4,44.4,0.11,0.25,21.9,0,0,1,1.9,1.2,0.13,-0.9,-0.2,154,213,72.3,2092,639,83,102,81.4,54,73,74,5,15,33.3,0,1.8,0.9,-1.8,12,13,9,1,26,203,8,0,1,1,6,4,1,0,0,0,2,7,21,18,0,1,1,1,0,1,1,0,0,0,0,0,9,4,3,3,3,6,11,54.5,5,10,1,9,10,19,8,0,315,9,36,159,125,30,314,24,9,37.5,12,50,214,1179,407,15,5,6,26,19,215,53,1,0,0,13,10,5,0,0,0,42,26,24,52
Tobias Kempe,de GER,MF,Darmstadt 98,de Bundesliga,34,1989,24,15,1350,5,0.2,3,18,1,5.6,0,0,23,3,3,3,3.6,1.2,0.07,-0.6,-1.2,413,557,74.1,6804,2095,223,251,88.8,127,160,79.4,48,101,47.5,2,2.1,2.5,-0.1,28,38,5,3,44,454,100,40,1,2,81,2,55,20,31,0,3,13,57,28,22,1,3,2,1,8,4,2,0,0,2,0,20,13,9,8,3,8,24,33.3,16,16,4,12,9,29,12,0,690,22,117,336,247,29,687,19,8,42.1,10,52.6,314,1620,696,15,12,3,28,11,365,46,1,0,0,14,11,0,1,0,0,65,13,20,39.4
Tom Bischof,de GER,"MF,FW",Hoffenheim,de Bundesliga,18,2005,13,1,178,2,0,0,5,1,20,0,0,23.3,0,0,0,0.4,0.4,0.07,-0.4,-0.4,90,112,80.4,1501,532,45,53,84.9,33,37,89.2,7,11,63.6,2,0.8,0.8,1.2,5,11,4,2,18,106,6,1,0,1,11,0,5,1,3,0,0,4,7,4,2,0,1,0,0,2,2,0,0,0,0,0,8,4,6,1,1,2,9,22.2,7,3,0,3,1,9,2,0,141,3,19,65,58,5,141,3,2,66.7,1,33.3,87,464,242,2,7,0,5,3,99,18,0,0,0,1,1,2,0,0,0,11,1,1,50
Tom Cairney,sct SCO,MF,Fulham,eng Premier League,32,1991,34,14,1488,5,0.06,1,17,8,47.1,0.06,0.13,21.2,0,0,0,1.1,1.1,0.06,-0.1,-0.1,1126,1272,88.5,17463,3797,603,644,93.6,422,454,93,68,109,62.4,4,2.3,2.5,1.7,26,84,25,4,145,1239,27,15,2,1,25,0,2,1,1,0,6,13,71,62,2,2,2,1,2,13,11,0,1,0,1,0,24,16,10,12,2,13,25,52,12,16,4,12,13,37,6,0,1398,27,243,761,422,31,1398,33,26,78.8,5,15.2,931,4502,2261,35,42,6,29,24,1128,72,3,0,0,16,23,0,1,0,1,105,14,6,70
Tom Davies,eng ENG,MF,Sheffield Utd,eng Premier League,25,1998,9,2,221,0,0,0,4,1,25,0,0,15.4,0,0,0,0.4,0.4,0.09,-0.4,-0.4,68,99,68.7,901,310,41,50,82,20,27,74.1,2,7,28.6,0,0.1,0.2,-0.1,1,6,1,0,8,92,5,2,1,0,4,1,0,0,0,0,2,5,6,4,0,0,1,0,1,1,0,0,0,0,0,1,10,5,4,3,3,3,9,33.3,6,2,1,1,3,13,6,1,142,9,44,65,34,5,142,8,2,25,5,62.5,67,381,167,3,2,1,3,4,76,3,2,0,0,7,2,0,0,1,0,21,3,3,50
Tom Krauß,de GER,MF,Mainz 05,de Bundesliga,22,2001,29,13,1346,3,0.07,1,19,2,10.5,0.05,0.5,24,0,0,0,0.8,0.8,0.04,0.2,0.2,486,651,74.7,7591,2399,262,314,83.4,186,228,81.6,28,61,45.9,2,0.4,0.8,1.6,7,42,9,2,68,629,19,14,2,2,7,2,0,0,0,0,3,20,22,18,0,0,1,3,0,3,2,0,0,0,1,0,57,33,22,31,4,21,58,36.2,37,33,4,29,17,74,28,0,867,40,202,496,181,14,867,12,3,25,8,66.7,348,1746,798,12,13,4,27,13,418,29,5,0,0,31,16,0,0,0,0,148,15,11,57.7
Tom Lockyer,wls WAL,DF,Luton Town,eng Premier League,28,1994,14,14,1169,2,0.08,1,7,1,14.3,0.14,1,8.5,0,0,0,1.1,1.1,0.15,-0.1,-0.1,301,422,71.3,6628,3120,81,104,77.9,158,189,83.6,57,113,50.4,1,0.6,0.3,0.4,3,37,4,0,37,401,20,17,1,5,1,2,0,0,0,0,1,7,10,9,0,0,0,0,1,1,1,0,0,0,0,0,25,16,17,6,2,15,22,68.2,7,23,13,10,23,48,68,0,586,108,316,242,32,18,586,6,4,66.7,2,33.3,269,1504,883,6,6,1,6,2,247,2,4,0,0,15,10,0,0,1,1,89,31,16,66
Tom Louchet,fr FRA,"MF,DF",Nice,fr Ligue 1,20,2003,13,3,409,2,0.22,1,2,1,50,0.5,1,11.4,0,0,0,1,1,0.51,0,0,195,257,75.9,2973,772,102,119,85.7,72,87,82.8,13,33,39.4,1,0.7,0.7,0.3,7,9,5,2,18,211,46,12,0,0,33,21,13,6,7,0,0,5,14,6,5,0,1,2,0,2,1,0,0,0,1,0,14,5,6,6,2,7,11,63.6,4,7,3,4,3,17,9,0,307,11,73,128,108,5,307,7,1,14.3,6,85.7,204,1378,552,6,8,0,7,6,194,40,1,0,0,7,4,0,1,0,0,13,4,8,33.3
Toma Bašić,hr CRO,MF,Salernitana,it Serie A,26,1996,15,14,1162,0,0,0,12,1,8.3,0,0,27,1,0,0,0.6,0.6,0.05,-0.6,-0.6,442,540,81.9,7981,2047,192,208,92.3,179,214,83.6,57,89,64,0,0.5,0.7,-0.5,16,43,6,4,53,503,35,22,1,6,25,7,6,1,4,0,2,11,27,20,4,2,1,0,0,1,1,0,0,0,0,0,20,13,10,9,1,10,27,37,17,18,6,12,14,34,29,0,679,43,175,394,121,6,679,15,10,66.7,5,33.3,366,1843,758,11,15,0,23,3,439,16,5,0,0,14,16,0,0,0,0,60,8,12,40
Tommaso Augello,it ITA,DF,Cagliari,it Serie A,28,1994,32,28,2418,2,0.04,1,10,3,30,0.1,0.33,24.1,1,0,0,0.5,0.5,0.05,0.5,0.5,919,1329,69.1,16120,7212,418,481,86.9,403,550,73.3,90,233,38.6,1,2,2.4,-1,27,68,31,20,96,1008,317,42,1,2,153,241,34,7,25,0,4,42,56,32,19,0,1,2,2,2,2,0,0,0,0,0,26,19,18,6,2,16,25,64,9,21,10,11,17,43,89,0,1544,97,529,625,408,9,1544,29,15,51.7,12,41.4,692,3963,2135,62,34,1,21,8,772,99,5,0,0,15,14,1,0,0,0,147,34,28,54.8
Tommaso Baldanzi,it ITA,"MF,FW",Empoli,it Serie A,20,2003,14,8,745,2,0.24,2,14,6,42.9,0.14,0.33,20,0,0,0,2.1,2.1,0.15,-0.1,-0.1,201,257,78.2,3075,751,102,119,85.7,70,86,81.4,15,22,68.2,0,1,0.8,-1,13,12,11,3,30,223,29,6,0,0,16,9,10,4,3,0,5,8,36,24,4,3,1,4,0,2,2,0,0,0,0,0,4,2,1,1,2,3,10,30,7,7,0,7,2,6,0,0,347,2,28,151,176,26,347,26,7,26.9,16,61.5,230,1420,641,20,16,6,19,13,260,40,1,0,0,4,16,2,0,0,0,27,1,6,14.3
Tommaso Baldanzi,it ITA,"FW,MF",Roma,it Serie A,20,2003,13,6,518,0,0,0,15,3,20,0,0,18,0,0,0,0.9,0.9,0.06,-0.9,-0.9,175,205,85.4,2356,434,111,124,89.5,57,66,86.4,3,7,42.9,0,0.7,0.7,-0.7,4,16,6,3,14,201,4,0,1,0,7,4,0,0,0,0,0,2,23,12,0,4,3,4,0,1,0,0,0,1,0,0,9,5,3,4,2,1,1,100,0,2,0,2,0,9,4,0,261,1,26,122,116,19,261,22,8,36.4,10,45.5,176,1068,499,18,16,5,5,7,213,54,2,0,0,7,14,1,0,0,0,20,0,2,0
Tommaso Corazza,it ITA,DF,Bologna,it Serie A,19,2004,9,1,195,0,0,0,1,0,0,0,0,12.8,0,0,0,0.1,0.1,0.1,-0.1,-0.1,119,145,82.1,1781,648,68,74,91.9,38,41,92.7,8,17,47.1,0,0.1,0.2,-0.1,1,7,4,3,14,110,35,5,0,1,8,30,0,0,0,0,0,9,3,2,0,0,0,1,0,0,0,0,0,0,0,0,10,4,9,1,0,4,9,44.4,5,2,0,2,5,15,3,0,170,6,54,72,47,5,170,3,0,0,2,66.7,96,555,330,10,6,1,1,2,107,9,1,0,0,1,3,0,0,0,0,8,0,1,0
Tommaso Martinelli,it ITA,GK,Fiorentina,it Serie A,17,2006,1,1,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tommaso Pobega,it ITA,MF,Milan,it Serie A,24,1999,11,3,319,0,0,0,5,4,80,0,0,16.9,0,0,0,0.2,0.2,0.04,-0.2,-0.2,103,132,78,1779,547,47,58,81,42,45,93.3,10,18,55.6,0,0.2,0.1,-0.2,1,7,1,0,11,131,1,1,1,0,0,0,0,0,0,0,0,5,4,3,0,0,1,0,0,0,0,0,0,0,0,0,16,9,11,5,0,6,13,46.2,7,10,2,8,6,22,7,0,186,17,57,102,30,5,186,6,3,50,3,50,109,507,258,6,4,1,4,3,114,10,0,0,0,8,7,0,0,0,0,24,2,2,50
Tommy Doyle,eng ENG,MF,Wolves,eng Premier League,21,2001,26,11,1222,0,0,0,14,3,21.4,0,0,26.2,2,0,0,0.4,0.4,0.03,-0.4,-0.4,801,955,83.9,15164,4208,309,331,93.4,361,399,90.5,106,178,59.6,0,0.4,0.9,-0.4,8,86,7,2,81,878,69,44,2,15,28,8,15,8,3,0,8,11,26,20,6,0,0,0,0,5,4,1,0,0,0,0,26,13,11,10,5,14,23,60.9,9,22,9,13,12,38,18,0,1061,40,265,620,182,6,1061,3,1,33.3,1,33.3,637,3091,1408,21,17,2,7,7,766,17,2,0,0,11,4,0,0,0,0,93,0,4,0
Tomás Mendes,es ESP,MF,Alavés,es La Liga,18,2004,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,66.7,63,0,1,2,50,3,3,100,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,4,2,0,7,0,0,0,0,0,6,20,1,0,1,0,0,1,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Tomáš Koubek,cz CZE,GK,Augsburg,de Bundesliga,30,1992,3,3,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,98,70.4,2113,1604,11,11,100,31,31,100,27,55,49.1,0,0,0,0,0,1,0,0,0,70,28,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,114,105,114,0,0,0,114,0,0,0,0,0,56,247,120,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,5,0,0,0
Tomáš Souček,cz CZE,MF,West Ham,eng Premier League,28,1995,37,34,2870,9,0.22,7,43,15,34.9,0.16,0.47,11,0,0,0,6.7,6.7,0.16,0.3,0.3,722,962,75.1,11368,3594,364,450,80.9,272,346,78.6,54,86,62.8,2,1.7,1.2,0.3,20,80,8,2,86,949,7,2,2,9,6,3,0,0,0,0,6,27,42,34,1,0,4,0,3,4,4,0,0,0,0,0,53,35,24,26,3,21,47,44.7,26,55,28,27,37,90,109,0,1340,186,456,653,234,72,1340,11,4,36.4,7,63.6,533,1869,596,7,13,2,20,12,677,39,7,0,0,41,24,10,0,1,0,151,108,78,58.1
Tomáš Suslov,sk SVK,"MF,FW",Hellas Verona,it Serie A,21,2002,32,23,2092,8,0.13,3,51,15,29.4,0.04,0.13,25.8,4,1,1,3.5,2.6,0.05,-0.5,-0.6,416,573,72.6,8181,2111,155,185,83.8,176,210,83.8,70,127,55.1,5,3.6,2.5,1.4,28,40,22,6,64,473,97,27,3,15,72,9,29,8,19,0,3,23,69,37,13,6,5,5,3,7,5,1,0,1,0,0,42,30,11,22,9,15,47,31.9,32,15,0,15,6,48,8,0,845,10,103,412,356,36,844,74,38,51.4,28,37.8,506,3572,1525,46,44,13,57,34,510,74,7,0,0,40,56,1,0,0,0,104,5,12,29.4
Tomáš Čvančara,cz CZE,FW,Gladbach,de Bundesliga,22,2000,21,7,896,5,0.4,4,34,11,32.4,0.09,0.27,14.2,1,1,2,5.9,4.3,0.13,-1.9,-1.3,137,216,63.4,1668,384,91,133,68.4,36,53,67.9,3,3,100,1,0.7,0.8,0.3,7,7,4,2,13,206,9,0,0,0,3,0,0,0,0,0,1,7,20,10,0,2,7,0,1,3,1,0,0,2,0,0,4,3,0,2,2,1,3,33.3,2,5,1,4,2,6,8,0,331,8,26,169,140,45,329,16,5,31.3,10,62.5,188,792,314,12,7,7,28,11,266,47,4,0,0,9,13,4,0,0,0,16,23,30,43.4
Toni Kroos,de GER,MF,Real Madrid,es La Liga,33,1990,33,24,2124,9,0.04,1,35,13,37.1,0.03,0.08,25.2,10,0,0,1.6,1.6,0.05,-0.6,-0.6,2291,2505,91.5,42164,15443,1087,1121,97,828,881,94,333,438,76,8,4.9,5.9,3.1,62,327,23,5,290,2260,239,137,6,53,118,13,89,32,34,0,6,13,100,61,34,0,4,1,0,11,6,5,0,0,0,0,53,34,19,25,9,24,59,40.7,35,22,4,18,17,70,11,1,2656,58,546,1641,492,13,2656,8,5,62.5,3,37.5,1758,8020,4189,32,51,1,8,6,2128,29,3,0,0,17,38,3,0,0,0,144,8,4,66.7
Toni Lato,es ESP,DF,Mallorca,es La Liga,25,1997,28,16,1544,1,0,0,5,1,20,0,0,17.6,0,0,0,0.2,0.2,0.05,-0.2,-0.2,595,788,75.5,9743,3108,309,352,87.8,233,306,76.1,42,87,48.3,1,1.3,1.3,-0.3,10,26,14,9,39,619,167,2,1,3,49,164,1,0,0,0,2,23,30,22,2,1,1,3,1,1,1,0,0,0,0,0,38,23,19,13,6,16,27,59.3,11,17,3,14,17,55,27,0,942,40,249,399,305,17,942,18,10,55.6,5,27.8,432,1860,911,30,23,8,17,7,494,110,3,0,0,19,18,2,1,0,0,83,10,19,34.5
Toni Villa,es ESP,FW,Girona,es La Liga,28,1995,2,0,13,0,0,0,1,1,100,0,0,18.9,0,0,0,0,0,0.02,0,0,7,9,77.8,119,18,2,2,100,4,5,80,1,1,100,0,0,0,0,0,0,0,0,1,7,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,5,8,1,12,1,0,0,1,100,8,62,36,1,0,1,1,0,7,3,0,0,0,0,1,0,0,0,0,2,0,0,0
